time,year,month,day,hour,min,sec,number of passage,pos_ii[0],pos_ii[1],pos_ii[2],vel_ii[0],vel_ii[1],vel_ii[2],pos_ii_mag,vel_ii_mag,pos_pp[0],pos_pp[1],pos_pp[2],pos_pp_mag,vel_pp[0],vel_pp[1],vel_pp[2],vel_pp_mag,a,e,i,OMEGA,omega,vi,lat,lon,alt,gamma_ii,gamma_pp,h_ii[0],h_ii[1],h_ii[2],h_pp[0],h_pp[1],h_pp[2],h_ii_mag,h_pp_mag,uD[0],uD[1],uD[2],uE[0],uE[1],uE[2],uN[0],uN[1],uN[2],vN,vE,azi_pp,rho,T,p,wind[0],wind[1],wind[2],cL,cD,aoa,S,mass,heat_rate,heat_load,T_r,q,gravity_ii[0],gravity_ii[1],gravity_ii[2],drag_pp[0],drag_pp[1],drag_pp[2],drag_ii[0],drag_ii[1],drag_ii[2],lift_pp[0],lift_pp[1],lift_pp[2],lift_ii[0],lift_ii[1],lift_ii[2],force_ii[0],force_ii[1],force_ii[2],energy,t_cf,h_cf,gamma_cf,v_cf
0.0,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,-10578511.999967571,1.1593005104654617,-18.426553951109277,0.004982305702685991,89.05212427101598,-1415.442982667134,10578511.999983683,1418.2415584249518,-10578511.999967571,1.1593005104654617,-18.426553951109277,10578511.999983683,0.005064479658816988,838.8820201170373,-1415.442982667134,1645.3576756690086,7037412.000000001,0.5031821357055688,1.6336281798666923,6.283185307179586,6.283185307179586,3.1415943989350126,-1.7484772060595894e-06,3.141592543999663,7182311.999983745,-1.7676571162150916e-06,-1.5236391779196449e-06,-2.2737367544323206e-13,-14973280577.505974,-942038965.2293221,13816.781029961361,-14973280577.507488,-8874123516.370987,15002885344.650473,17405435916.309666,0.9999999999984654,-1.0959013042616849e-07,1.7484772060586985e-06,-1.0959013042633601e-07,-0.999999999999994,0.0,-1.748477206058688e-06,1.9161584505944834e-13,0.9999999999984714,-1415.4429826736646,-838.8820201175873,-2.606584774432822,0.0,150.0,0.0,0.0,0.0,0.0,4.0036147746243914e-17,2.4538399116238025,1.5707963267948966,6.911315609292332,461.0,0.0,0.0,0.0,0.0,176.4863687738826,-1.9341164183619116e-05,0.0003076053017119391,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,176.4863687738826,-1.9341164183619116e-05,0.0003076053017119391,-3042879.9678063467,0,0,0,0
1.9464347370243263e-05,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,-10578511.999967476,1.1610338519463312,-18.454104625006682,0.004989757312204273,89.05212427101517,-1415.442982667121,10578511.999983637,1418.2415584249652,-10578511.999967474,1.1756288015076715,-18.454104625006682,10578511.999983637,0.005073211519473958,838.8820201170228,-1415.442982667121,1645.357675669017,7037412.000000004,0.5031821357055688,1.6336281798666923,6.283185307179586,6.283185307179586,3.1415944015410977,-1.7510914618476872e-06,3.141592542456129,7182311.999983698,-1.7703557830327878e-06,-1.5258963684485031e-06,-9.094947017729282e-13,-14973280577.505978,-942038965.2293223,13816.781029961108,-14973280577.507515,-8874123516.370846,15002885344.650478,17405435916.309616,0.9999999999984607,-1.1113366417142856e-07,1.7510914618467923e-06,-1.1113366417159894e-07,-0.9999999999999938,0.0,-1.7510914618467815e-06,1.9460521045463567e-13,0.9999999999984669,-1415.4429826736714,-838.8820201175813,-2.6065847744328274,0.0,150.0,0.0,0.0,0.0,0.0,4.003614774624382e-17,2.453839911623801,1.5707963267948966,6.911315609292367,461.0,0.0,0.0,0.0,0.0,176.48636877388327,-1.9370082347516592e-05,0.0003080652213137886,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,176.48636877388327,-1.9370082347516592e-05,0.0003080652213137886,-3042879.9678063453,0,0,0,0
0.003545383010340538,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,-10578511.999947807,1.4750243988904017,-23.444841453959018,0.006339598052811582,89.05212427084955,-1415.4429826644869,10578511.99997389,1418.241558427717,-10578511.999947103,4.13345857226326,-23.444841453959018,10578511.99997389,0.006654966605695544,838.882020113824,-1415.4429826644869,1645.3576756707573,7037412.000000403,0.5031821357055275,1.6336281798666923,0.0,6.283185307179586,3.141594874512766,-2.224657469364274e-06,3.141592262848773,7182311.999973986,-2.2493350946054916e-06,-1.938755031501429e-06,1.3642420526593924e-12,-14973280577.50682,-942038965.2293763,13816.781029901063,-14973280577.513218,-8874123516.341461,15002885344.651321,17405435916.29954,0.999999999997449,-3.907410201058631e-07,2.224657469362439e-06,-3.9074102010683003e-07,-0.9999999999999236,0.0,-2.224657469362269e-06,8.692649289669584e-13,0.9999999999975254,-1415.44298267506,-838.8820201163602,-2.606584774433896,0.0,150.0,0.0,0.0,0.0,0.0,4.003614774622588e-17,2.453839911623508,1.5707963267948966,6.9113156092996775,461.0,0.0,0.0,0.0,0.0,176.48636877404257,-2.46085366273221e-05,0.0003913785262392763,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,176.48636877404257,-2.46085366273221e-05,0.0003913785262392763,-3042879.967806173,0,0,0,0
0.3049728909012759,2001.0,11.0,6.0,8.0,30.0,0.0,1.0,-10578511.980529023,28.317784273788867,-450.09829201848316,0.12173622784428674,89.05212410737433,-1415.4429800645482,10578511.990142396,1418.2415610331527,-10578511.977445185,256.99557484951885,-450.09829201848316,10578511.990142396,0.14187773809138218,838.8820157045524,-1415.4429800645482,1645.3576772896022,7037411.999844176,0.5031821357232464,1.633628179866762,0.0,6.283185277377264,3.1416353107007398,-4.270937512988855e-05,3.1415683594759,7182311.9901786335,-4.320355213774711e-05,-3.7239972495230877e-05,3.0464434530586004e-08,-14973280577.161795,-942038965.208717,13816.780145236815,-14973280581.862457,-8874123487.255917,15002885344.30568,17405435905.211834,0.9999999987928527,-2.429411386861731e-05,4.2709375116904255e-05,-2.429411389077464e-05,-0.9999999997048981,0.0,-4.2709375104300635e-05,1.0375864232938885e-09,0.9999999990879547,-1415.442983962697,-838.8820189037906,-2.6065847754668807,0.0,150.0,0.0,0.0,0.0,0.0,4.003614772954574e-17,2.4538399113511007,1.5707963267948966,6.911315616099626,461.0,0.0,0.0,0.0,0.0,176.48636894175698,-0.00047243912302182337,0.0075137555112037395,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,176.48636894175698,-0.00047243912302182337,0.0075137555112037395,-3042879.9678737232,0,0,0,0
2.277874458688262,2001.0,11.0,6.0,8.0,30.0,2.0,1.0,-10578510.995906692,204.0088534122144,-3242.627869043703,0.877029590447963,89.0521158185924,-1415.4428482382918,10578511.494854743,1418.2416948960422,-10578510.82507793,1912.0270493234793,-3242.627869043703,10578511.49485474,1.0269370227217167,838.8817856187055,-1415.4428482382918,1645.3577609357196,7037412.000525342,0.5031821357070163,1.633628179870297,0.0,6.283185122862402,3.1418999733057142,-0.00030768972272274156,3.1414119072579023,7182311.496735506,-0.00031125647248712624,-0.0002682923533651447,1.106236595660448e-05,-14973280578.04685,-942038965.3175372,13816.44427727675,-14973280822.342518,-8874122013.659546,15002885345.195822,17405435360.778484,0.9999999363289002,-0.0001807463223508882,0.0003076897178677585,-0.0001807463309067837,-0.9999999836653818,0.0,-0.00030768971284176445,5.56137875623408e-08,0.9999999526635176,-1415.4430505607706,-838.8819575309908,-2.60658482819203,0.0,150.0,0.0,0.0,0.0,0.0,4.003614686767889e-17,2.4538398972757474,1.5707963267948966,6.911315967454669,461.0,0.0,0.0,0.0,0.0,176.48637728456197,-0.0034035776383491835,0.054131101749895716,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,176.48637728456197,-0.0034035776383491835,0.054131101749895716,-3042879.9675791967,0,0,0,0
12.040712681185088,2001.0,11.0,6.0,8.0,30.0,12.0,1.0,-10578484.187148929,1073.4094018344042,-17061.353864222758,4.614575813481946,89.05189013645672,-1415.4392589496208,10578498.000177689,1418.245334638075,-10578479.418242482,10101.870512930134,-17061.353864222758,10578498.000177689,5.4066220304970205,838.875505658805,-1415.4392589496208,1645.3600339536476,7037411.99446765,0.5031821378809981,1.6336281799665404,0.0,6.283184334714691,3.1432096488207466,-0.0016189375822377081,3.140637708456109,7182298.052245431,-0.0016377047202886885,-0.0014116465481737305,0.001613931730389595,-14973280549.579248,-942038964.9732947,13767.737246816978,-14973287312.862627,-8874081888.075089,15002885316.76278,17405420486.445732,0.9999982335613666,-0.0009549437371099866,0.0016189368750429913,-0.0009549449885454944,-0.9999995440399305,0.0,-0.0016189361368724212,1.5459956555938077e-06,0.9999986895208386,-1415.444860123864,-838.8802861916841,-2.606586262770543,0.0,150.0,0.0,0.0,0.0,0.0,4.0036123447156916e-17,2.4538395147895966,1.5707963267948966,6.911325515253618,461.0,0.0,0.0,0.0,0.0,176.4866049017255,-0.017908272834541505,0.28481634414695983,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,176.4866049017255,-0.017908272834541505,0.28481634414695983,-3042879.970198459,0,0,0,0
33.81494627746977,2001.0,11.0,6.0,8.0,30.0,33.0,1.0,-10578292.955380082,3012.4313059937826,-47881.22428189992,12.950531210758475,89.05028028840712,-1415.4136556409137,10578401.74772281,1418.2713017095352,-10578255.348549608,28367.330996149984,-47881.22428189992,10578401.747722808,15.174680293963291,838.8306873963254,-1415.4136556409137,1645.376251686705,7037411.971473122,0.5031821512391303,1.6336281806530706,0.0,6.283182576564668,3.1461306684642185,-0.004543464116279479,3.13891099559779,7182202.157813741,-0.004596051377966864,-0.0039616725146642065,0.03567148186266422,-14973280389.70452,-942038965.2351274,12732.611727289855,-14973333655.46421,-8873795670.656384,15002885157.219967,17405314428.71916,0.9999860828791419,-0.0026816270991668794,0.00454344848445721,-0.0026816547779077854,-0.9999964043573617,0.0,-0.004543432147840114,1.2183960336522562e-05,0.9999896784846677,-1415.4577712776218,-838.868364514853,-2.6065964966875077,0.0,150.0,0.0,0.0,0.0,0.0,4.0035956346340914e-17,2.4538367858261747,1.5707963267948966,6.911393637749587,461.0,0.0,0.0,0.0,0.0,176.48822815908326,-0.05025940063187569,0.7993344185074795,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,176.48822815908326,-0.05025940063187569,0.7993344185074795,-3042879.9801409766,0,0,0,0
58.81494627746977,2001.0,11.0,6.0,8.0,30.0,58.0,1.0,-10577849.554510195,5238.645850123323,-83265.89033255597,22.521569216857106,89.04654749037438,-1415.3542885586762,10578178.569572115,1418.3315095002938,-10577735.793164253,49336.915931794174,-83265.89033255597,10578178.569572113,26.38971937403717,838.72675930119,-1415.3542885586762,1645.413855599239,7037411.913579205,0.5031821827000403,1.6336281822449472,0.0,6.283180558125511,3.149484524764219,-0.007901347093295376,3.136928464662527,7181979.809802251,-0.007992462853615805,-0.006889410132830011,0.18761409260332584,-14973280009.217014,-942038965.2268437,8114.810629189014,-14973441081.574942,-8873132049.911077,15002884777.482748,17405068520.36559,0.9999579075495432,-0.004664026421607887,0.007901264878342135,-0.004664172015978697,-0.9999891226905447,0.0,-0.007901178933838965,3.685285853639871e-05,0.999968784519458,-1415.4877080105985,-838.8407224012946,-2.606620225364006,0.0,150.0,0.0,0.0,0.0,0.0,4.0035568904901876e-17,2.4538304584272983,1.5707963267948966,6.91155159277147,461.0,0.0,0.0,0.0,0.0,176.49199202604092,-0.08740708939398696,1.390137870564795,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,176.49199202604092,-0.08740708939398696,1.390137870564795,-3042880.005173508,0,0,0,0
83.81494627746977,2001.0,11.0,6.0,8.0,31.0,23.0,1.0,-10577166.874712635,7464.741891429906,-118648.67169326876,32.09286641172143,89.04080000008668,-1415.262879451355,10577834.954525635,1418.4242080887213,-10576935.864310695,70303.20154804169,-118648.67169326876,10577834.954525633,37.6045452752729,838.5667416300026,-1415.262879451355,1645.4717560463505,7037411.824487928,0.503182231132225,1.633628184696004,0.0,6.2831785405755785,3.152838559760538,-0.011259409221997608,3.1349459113636673,7181637.472910067,-0.011388509492419827,-0.009817031365216462,0.5428900457918644,-14973279423.513874,-942038965.2231492,-2681.4369781315327,-14973606436.443201,-8872110364.090145,15002884192.935125,17404689943.40595,0.9999145254120289,-0.006646271974481306,0.011259171322892617,-0.006646693284961392,-0.9999779104902146,0.0,-0.011258922613317504,7.483625842610023e-05,0.9999366135216381,-1415.5338023892493,-838.7981639803229,-2.606656758875034,0.0,150.0,0.0,0.0,0.0,0.0,4.003497238127655e-17,2.453820716457194,1.5707963267948966,6.911794803272034,461.0,0.0,0.0,0.0,0.0,176.49778705274946,-0.12456175083208457,1.9810522558350847,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,176.49778705274946,-0.12456175083208457,1.9810522558350847,-3042880.04369535,0,0,0,0
108.81494627746977,2001.0,11.0,6.0,8.0,31.0,48.0,1.0,-10576244.908104781,9690.669057234774,-154028.7672279382,41.66453294707491,89.03303735916201,-1415.1394210262276,10577370.89859351,1418.5493985017026,-10575855.56842522,91264.78558766606,-154028.7672279382,10577370.898593508,48.81906736960606,838.3506328716726,-1415.1394210262276,1645.5499584994736,7037411.704151472,0.5031822965366778,1.6336281880064374,0.0,6.283176524148992,3.1561928494209077,-0.014617726663552488,3.1329633261908887,7181175.143206427,-0.014784036321760386,-0.012744486713756038,1.1879786923527718,-14973278632.533953,-942038965.2231543,-22281.35062702,-14973829666.72243,-8870730670.664762,15002883403.516024,17404178737.30288,0.9998559344991762,-0.00862829838117857,0.014617206088178318,-0.008629220301740141,-0.9999627675853656,0.0,-0.014616661854300446,0.00012613509153082793,0.9998931629360087,-1415.5960580513186,-838.7406895405584,-2.606706097357895,0.0,150.0,0.0,0.0,0.0,0.0,4.0034166766917596e-17,2.453807559776271,1.5707963267948966,6.912123292234008,461.0,0.0,0.0,0.0,0.0,176.50561331909503,-0.16172634997406724,2.5721247470486674,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,176.50561331909503,-0.16172634997406724,2.5721247470486674,-3042880.095727179,0,0,0,0
